name,url,rss,api,country,state,city,coverage,category,industry,source_type,signals,language,free,notes,feed_checked,feed_kind,feed_role
El Cronista,https://www.cronista.com,,,Argentina,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Spanish,Free,"Verified by the americas region audit, 2026-07-29. LIVE. verified live Feed not wired: robots.txt disallows this path (https://www.cronista.com/files/rss/negocios.xml).",2026-07-29 robots.txt disallows this path,,direct
Infobae,https://www.infobae.com,https://www.infobae.com/arc/outboundfeeds/rss/,,Argentina,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Spanish,Free,"Verified by the americas region audit, 2026-07-29. LIVE. verified live",2026-07-29 200 ok,rss,direct
Infotechnology,https://www.infotechnology.com,,,Argentina,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Spanish,Free,"Verified by the americas region audit, 2026-07-29. NEEDS-HTML. connection reset for automated clients; needs HTML parsing [tried: https://www.infotechnology.com/feed/] Feed not wired: not live (0, 0 items) ().","2026-07-29 not live (0, 0 items)",,direct
iProUP,https://www.iproup.com,https://www.iproup.com/rss/home,,Argentina,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Spanish,Free,"Verified by the americas region audit, 2026-07-29. LIVE. verified live",2026-07-29 200 ok,rss,direct
La Nacion,https://www.lanacion.com.ar,https://www.lanacion.com.ar/arc/outboundfeeds/rss/?outputType=xml,,Argentina,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Spanish,Free,"Verified by the americas region audit, 2026-07-29. LIVE. verified live",2026-07-29 200 ok,rss,direct
Perfil Economia,https://www.perfil.com,https://www.perfil.com/feed/economia,,Argentina,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Spanish,Free,"Verified by the americas region audit, 2026-07-29. LIVE. verified live",2026-07-29 200 ok,rss,direct
TN Tecno,https://tn.com.ar,https://tn.com.ar/feed/,,Argentina,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Spanish,Free,"Verified by the americas region audit, 2026-07-29. LIVE. verified live",2026-07-29 200 ok,rss,direct
Aruba Today,https://www.arubatoday.com,,,Aruba,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,English,Free,"Verified by the americas region audit, 2026-07-29. NEEDS-HTML. /feed/ returns 403; needs HTML parsing [tried: https://www.arubatoday.com/feed/] Feed not wired: not live (403, 0 items) ().","2026-07-29 not live (403, 0 items)",,direct
ABC News (Business),https://www.abc.net.au,https://www.abc.net.au/news/feed/51892/rss.xml,,Australia,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,English,Free,"Verified by the apac region audit, 2026-07-29. Public broadcaster business desk",2026-07-29 200 ok,rss,direct
Australian Financial Review,https://www.afr.com,https://www.afr.com/rss/technology.xml,,Australia,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,English,Free,"Verified by the apac region audit, 2026-07-29.",2026-07-29 200 ok,rss,direct
Australian Financial Review (Technology),https://www.afr.com/technology,,,Australia,,,National,Business News,Technology,Business News,M&A; Hiring,English,Paid,"Supplied by the owner, 2026-07-27. Not yet read by a collector.",,,
Australian Securities and Investments Commission,https://asic.gov.au,,,Australia,,,National,Regulatory Filings,Finance,Regulator,Company Filings; Regulation; Enforcement; Insolvency,English,Free,Official source URL verified on 2026-07-27.,,,
Business News Australia,https://www.businessnewsaustralia.com,https://www.businessnewsaustralia.com/rss.xml,,Australia,,Brisbane,National,Business News,Technology,News Organization,Funding; Executive Hire; Company Expansion; Hiring,English,Free,Feed fetched and parsed 2026-07-29.,2026-07-29 200 ok,rss,direct
Capital Brief,https://www.capitalbrief.com,,,Australia,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,English,Free,"Verified by the apac region audit, 2026-07-29. tech/business publisher, paywalled; no feed at any URL tried; needs HTML parsing Feed not wired: not live (404, 0 items) (https://www.capitalbrief.com/feed.xml).","2026-07-29 not live (404, 0 items)",,direct
CRN Australia,https://www.crn.com.au,,,Australia,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,English,Free,"Verified by the apac region audit, 2026-07-29. Channel/IT trade press; no feed at any URL tried; needs HTML parsing Feed not wired: not live (404, 0 items) (https://www.crn.com.au/RSS/rss.ashx).","2026-07-29 not live (404, 0 items)",,direct
InnovationAus,https://www.innovationaus.com,,,Australia,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,English,Free,"Verified by the apac region audit, 2026-07-29. Tech policy/innovation publisher; bot-blocked (Cloudflare/Akamai interstitial) to both urllib and curl; needs HTML parsing via a real browser, or skip Feed not wired: not live (403, 0 items) (https://www.innovationaus.com/feed/).","2026-07-29 not live (403, 0 items)",,direct
iTnews,https://www.itnews.com.au,https://www.itnews.com.au/RSS/rss.ashx,,Australia,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,English,Free,"Verified by the apac region audit, 2026-07-29. Enterprise IT trade press",2026-07-29 200 ok,rss,direct
SmartCompany,https://www.smartcompany.com.au,https://www.smartcompany.com.au/feed/,,Australia,,Melbourne,National,Business News,Technology,News Organization,Funding; Executive Hire; Company Expansion; Hiring,English,Free,Feed fetched and parsed 2026-07-29.,2026-07-29 200 ok,rss,direct
Startup Daily,https://www.startupdaily.net,https://www.startupdaily.net/feed/,,Australia,NSW,Sydney,National,Startup Ecosystem,Technology,Startup Ecosystem,Funding; Hiring,English,Free,"Supplied by the owner, 2026-07-27. Not yet read by a collector.",,rss,direct
AustrianStartups,https://austrianstartups.com,,,Austria,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,German,Free,"Verified by the europe region audit, 2026-07-29. LOGIN WALL: /feed redirects to /login?redirect_to=/feed. Not usable. Feed not wired: not live (200, 0 items) (https://austrianstartups.com/feed/).","2026-07-29 not live (200, 0 items)",,direct
brutkasten,https://brutkasten.com,https://brutkasten.com/feed/,,Austria,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,German,Free,"Verified by the europe region audit, 2026-07-29. Leading Austrian startup outlet. www.derbrutkasten.com redirects here; store this canonical form.",2026-07-29 200 ok,rss,direct
Der Standard Wirtschaft,https://www.derstandard.at,https://www.derstandard.at/rss/wirtschaft,,Austria,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,German,Free,"Verified by the europe region audit, 2026-07-29. National daily, business.",2026-07-29 200 ok,rss,direct
Die Presse Wirtschaft,https://www.diepresse.com,https://www.diepresse.com/rss/Wirtschaft,,Austria,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,German,Free,"Verified by the europe region audit, 2026-07-29. National daily, business.",2026-07-29 200 ok,rss,direct
Trending Topics,https://www.trendingtopics.eu,https://www.trendingtopics.eu/feed/,,Austria,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,German,Free,"Verified by the europe region audit, 2026-07-29. Vienna-based; covers AT and CEE.",2026-07-29 200 ok,rss,direct
Eyewitness News,https://ewnews.com,https://ewnews.com/feed/,,Bahamas,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,English,Free,"Verified by the americas region audit, 2026-07-29. LIVE. verified live",2026-07-29 200 ok,rss,direct
The Nassau Guardian,https://thenassauguardian.com,https://thenassauguardian.com/search/?f=rss&t=article&l=50&s=start_time&sd=desc,,Bahamas,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,English,Free,"Verified by the americas region audit, 2026-07-29. LIVE. TownNews-style search feed (site-wide, newest first) IMPORTANT: this host content-negotiates - send Accept: application/rss+xml or it returns HTML.",2026-07-29 200 ok,rss,direct
The Tribune,https://www.tribune242.com,https://www.tribune242.com/rss/headlines/,,Bahamas,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,English,Free,"Verified by the americas region audit, 2026-07-29. LIVE. Bahamas: /rss/headlines/ works; the business sub-path 404s",2026-07-29 200 ok,rss,direct
Al Watan News,https://alwatannews.net,,,Bahrain,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Arabic,Free,"Verified by the mea region audit, 2026-07-29. NO FEED. /rss returns HTML, /feed 404s. Feed not wired: not live (200, 0 items) ().","2026-07-29 not live (200, 0 items)",,direct
Bahrain This Week,https://www.bahrainthisweek.com,https://www.bahrainthisweek.com/feed/,,Bahrain,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,English,Free,"Verified by the mea region audit, 2026-07-29. Local English title; lighter business coverage but live.",2026-07-29 200 ok,rss,direct
Gulf Daily News,https://www.gdnonline.com,,,Bahrain,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,English,Free,"Verified by the mea region audit, 2026-07-29. NO FEED. Every feed path 404s. Feed not wired: not live (200, 0 items) ().","2026-07-29 not live (200, 0 items)",,direct
Gulf Insider,https://www.gulf-insider.com,https://www.gulf-insider.com/feed/,,Bahrain,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,English,Free,"Verified by the mea region audit, 2026-07-29. Bahrain-based Gulf business/news title; current.",2026-07-29 200 ok,rss,direct
Dhaka Tribune,https://www.dhakatribune.com,,,Bangladesh,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,English,Free,"Verified by the apac region audit, 2026-07-29. National daily; no feed at any URL tried; needs HTML parsing Feed not wired: not live (404, 0 items) (https://www.dhakatribune.com/feed).","2026-07-29 not live (404, 0 items)",,direct
Future Startup,https://futurestartup.com,https://futurestartup.com/feed/,,Bangladesh,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,English,Free,"Verified by the apac region audit, 2026-07-29. Bangladesh startup publisher",2026-07-29 200 ok,rss,direct
New Age (Business),https://www.newagebd.net,,,Bangladesh,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,English,Free,"Verified by the apac region audit, 2026-07-29. National daily; bot-blocked (Cloudflare/Akamai interstitial) to both urllib and curl; needs HTML parsing via a real browser, or skip Feed not wired: not live (403, 0 items) (https://www.newagebd.net/rss/business).","2026-07-29 not live (403, 0 items)",,direct
Prothom Alo English,https://en.prothomalo.com,,,Bangladesh,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,English,Free,"Verified by the apac region audit, 2026-07-29. largest daily, English edition Re-probed 2026-08-02: the feed is a well-formed 637-byte channel carrying no items at all, on /feed and on the /stories.rss it names as its own self link.","2026-08-02 not live (200, 0 items: empty channel) (https://en.prothomalo.com/feed)",,direct
TechShohor,https://techshohor.com,,,Bangladesh,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Bengali,Free,"Verified by the apac region audit, 2026-07-29. Bangla tech publisher; bot-blocked (Cloudflare/Akamai interstitial) to both urllib and curl; needs HTML parsing via a real browser, or skip Feed not wired: not live (403, 0 items) (https://techshohor.com/feed/).","2026-07-29 not live (403, 0 items)",,direct
The Business Standard (Economy),https://www.tbsnews.net,https://www.tbsnews.net/economy/rss.xml,,Bangladesh,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,English,Free,"Verified by the apac region audit, 2026-07-29. root rss.xml was stale 2021",2026-07-29 200 ok,rss,direct
The Daily Star (Business),https://www.thedailystar.net,https://www.thedailystar.net/business/rss.xml,,Bangladesh,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,English,Free,"Verified by the apac region audit, 2026-07-29. National daily business desk Re-probed 2026-08-02: this feed was recorded as 0 items and the fault was ours. Drupal wraps each title in an anchor element, and the reader took only an element's own text, so every item was dropped for having no title. Fixed in national_press._text.","2026-08-02 200 ok, 10 items, newest 0d",rss,direct
The Financial Express BD,https://thefinancialexpress.com.bd,,,Bangladesh,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,English,Free,"Verified by the apac region audit, 2026-07-29. Financial daily; no working RSS: this URL serves HTML; needs an HTML parser; served HTML not XML (ctype=text/html; charset=utf-8) Feed not wired: not live (200, 0 items) (https://thefinancialexpress.com.bd/feed).","2026-07-29 not live (200, 0 items)",,direct
The Daily Star (Economy),https://www.thedailystar.net,https://www.thedailystar.net/business/economy/rss.xml,,Bangladesh,,Dhaka,National,Business News,Finance,News Organization,Funding; Executive Hire; Company Expansion,English,Free,"Wired 2026-08-02 after the national_press feed audit. The economy desk beside the business desk already wired. Probed live: 200, 10 parseable items, newest 0d.","2026-08-02 200 ok, 10 items, newest 0d",rss,direct
The Business Standard (Corporates),https://www.tbsnews.net,https://www.tbsnews.net/economy/corporates/rss.xml,,Bangladesh,,Dhaka,National,Business News,Finance,News Organization,Funding; Executive Hire; Company Expansion,English,Free,"Wired 2026-08-02 after the national_press feed audit. The corporates desk, which is where a Bangladeshi hiring or funding story lands. Probed live: 200, 20 parseable items, newest 1d.","2026-08-02 200 ok, 20 items, newest 1d",rss,direct
Barbados Today,https://barbadostoday.bb,https://barbadostoday.bb/feed/,,Barbados,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,English,Free,"Verified by the americas region audit, 2026-07-29. LIVE. verified live",2026-07-29 200 ok,rss,direct
Nation News,https://www.nationnews.com,,,Barbados,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,English,Free,"Verified by the americas region audit, 2026-07-29. NEEDS-HTML. /feed/ returns 403; needs HTML parsing (Barbados Today covers Barbados instead) [tried: https://www.nationnews.com/feed/] Feed not wired: not live (403, 0 items) ().","2026-07-29 not live (403, 0 items)",,direct
Bloovi,https://www.bloovi.be,https://www.bloovi.be/nieuws/rss,,Belgium,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Dutch,Free,"Verified by the europe region audit, 2026-07-29. Business/tech. NOTE: items carry NO dates, so recency cannot be judged per item.",2026-07-29 200 ok,rss,direct
Bureau van Dijk,https://www.bvdinfo.com,,,Belgium,,,Global,Company Intelligence,Finance,Data Provider,Companies; Funding; Hiring; Partnership; Economic Development,English,Free/Paid,Official source URL verified on 2026-07-27.,,,
Data News (Knack),https://datanews.knack.be,https://datanews.knack.be/feed/,,Belgium,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Dutch,Free,"Verified by the europe region audit, 2026-07-29. Redirects to trends.knack.be/feed/?host=datanews.knack.be. Belgian ICT business.",2026-07-29 200 ok,rss,direct
De Tijd - Ondernemen,https://www.tijd.be,https://www.tijd.be/rss/ondernemen.xml,,Belgium,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Dutch,Free,"Verified by the europe region audit, 2026-07-29. Business daily. Use this path: /rss/top_stories.xml is STALE (last item 2022-11-20) though it still returns 200.",2026-07-29 200 ok,rss,direct
Het Laatste Nieuws - Economie,https://www.hln.be,https://www.hln.be/economie/rss.xml,,Belgium,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Dutch,Free,"Verified by the europe region audit, 2026-07-29. National daily, economy.",2026-07-29 200 ok,rss,direct
L'Echo,https://www.lecho.be,,,Belgium,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,French,Free,"Verified by the europe region audit, 2026-07-29. 403 to non-browser clients on every /rss path tried. French-language Belgian business daily; gap remains for FR-language BE. Feed not wired: not live (403, 0 items) (https://www.lecho.be/rss).","2026-07-29 not live (403, 0 items)",,direct
Tech.eu,https://tech.eu,,,Belgium,,Brussels,Regional,Technology News,Technology,Technology News,Funding; M&A,English,Paid,"Supplied by the owner, 2026-07-27. Not yet read by a collector. Feed withdrawn 2026-07-29: robots.txt at this host disallows https://tech.eu/feed/. The publisher's own terms; not fetched. RE-VERIFIED 2026-07-30 against the recall rejection audit (publisher_not_wired, 1 miss: eu_funding:humanoid GB 2026-07-21): national_press.robots_allows still returns False for that URL, so the withdrawal stands and tests/test_national_press.py keeps this name on its withdrawn list.",2026-07-30 robots.txt disallows the feed path (re-verified),,
VRT NWS,https://www.vrt.be/vrtnws/nl/,https://www.vrt.be/vrtnws/nl.rss.articles.xml,,Belgium,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Dutch,Free,"Verified by the europe region audit, 2026-07-29. Atom. Flemish public broadcaster.",2026-07-29 200 ok,atom,direct
Amandala,https://amandala.com.bz,https://amandala.com.bz/news/feed/,,Belize,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,English,Free,"Verified by the americas region audit, 2026-07-29. LIVE. verified live",2026-07-29 200 ok,rss,direct
Breaking Belize News,https://www.breakingbelizenews.com,https://www.breakingbelizenews.com/feed/,,Belize,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,English,Free,"Verified by the americas region audit, 2026-07-29. LIVE. verified live",2026-07-29 200 ok,rss,direct
BBS (Bhutan Broadcasting Service),https://www.bbs.bt,,,Bhutan,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,English,Free,"Verified by the apac region audit, 2026-07-29. public broadcaster; no feed at any URL tried; needs HTML parsing Feed not wired: not live (404, 0 items) (https://www.bbs.bt/news/feed/).","2026-07-29 not live (404, 0 items)",,direct
Business Bhutan,https://businessbhutan.bt,https://businessbhutan.bt/feed/,,Bhutan,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,English,Free,"Verified by the apac region audit, 2026-07-29. business weekly",2026-07-29 200 ok,rss,direct
Kuensel,https://kuenselonline.com,,,Bhutan,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,English,Free,"Verified by the apac region audit, 2026-07-29. national newspaper; no feed at any URL tried; needs HTML parsing Feed not wired: not live (404, 0 items) (https://kuenselonline.com/feed/).","2026-07-29 not live (404, 0 items)",,direct
The Bhutanese,https://thebhutanese.bt,https://thebhutanese.bt/feed/,,Bhutan,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,English,Free,"Verified by the apac region audit, 2026-07-29. weekly",2026-07-29 200 ok,rss,direct
El Deber,https://eldeber.com.bo,https://eldeber.com.bo/rss/economia.xml,,Bolivia,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Spanish,Free,"Verified by the americas region audit, 2026-07-29. LIVE. verified live",2026-07-29 200 ok,rss,direct
La Razon,https://www.larazon.bo,https://www.la-razon.com/feed/,,Bolivia,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Spanish,Free,"Verified by the americas region audit, 2026-07-29. LIVE. verified live Domain-drift guard flagged a redirect 2026-07-29; confirmed a legitimate rebrand to https://www.larazon.bo and the catalogue url updated to match.",2026-07-29 200 ok,rss,direct
Los Tiempos,https://www.lostiempos.com,https://www.lostiempos.com/rss/portada,,Bolivia,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Spanish,Free,"Verified by the americas region audit, 2026-07-29. LIVE. verified live",2026-07-29 200 ok,rss,direct
Opinion,https://www.opinion.com.bo,https://www.opinion.com.bo/rss/,,Bolivia,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Spanish,Free,"Verified by the americas region audit, 2026-07-29. LIVE. verified live",2026-07-29 200 ok,rss,direct
Akta.ba,https://www.akta.ba,,,Bosnia and Herzegovina,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Bosnian,Free,"Verified by the europe region audit, 2026-07-29. Business portal. Valid RSS envelope with ZERO items. Needs HTML parsing. Feed not wired: not live (200, 0 items) (https://www.akta.ba/feed).","2026-07-29 not live (200, 0 items)",,direct
BHRT,https://www.bhrt.ba,,,Bosnia and Herzegovina,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Bosnian,Free,"Verified by the europe region audit, 2026-07-29. NEEDS HTML PARSING. Public broadcaster; /feed/ and /rss serve HTML. Feed not wired: not live (200, 0 items) (https://www.bhrt.ba/feed/).","2026-07-29 not live (200, 0 items)",,direct
BiznisInfo,https://www.biznisinfo.ba,https://www.biznisinfo.ba/feed/,,Bosnia and Herzegovina,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Bosnian,Free,"Verified by the europe region audit, 2026-07-29. Business news.",2026-07-29 200 ok,rss,direct
Bljesak.info,https://bljesak.info,,,Bosnia and Herzegovina,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Croatian,Free,"Verified by the europe region audit, 2026-07-29. NEEDS HTML PARSING. No feed on any of 5 paths tried. Feed not wired: not live (404, 0 items) (https://bljesak.info/rss).","2026-07-29 not live (404, 0 items)",,direct
Buka (6yka),https://6yka.com,https://6yka.com/feed/,,Bosnia and Herzegovina,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Bosnian,Free,"Verified by the europe region audit, 2026-07-29. General news/analysis.",2026-07-29 200 ok,rss,direct
Capital.ba,https://capital.ba,,,Bosnia and Herzegovina,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Serbian,Free,"Verified by the europe region audit, 2026-07-29. Business/economy; high signal. Re-probed 2026-08-02: 403 to both header sets.",2026-08-02 not live (403) (https://capital.ba/feed/),,direct
Dnevni avaz,https://avaz.ba,https://avaz.ba/rss,,Bosnia and Herzegovina,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Bosnian,Free,"Verified by the europe region audit, 2026-07-29. National daily. /feed and /feed/ 404; use bare /rss.",2026-07-29 200 ok,rss,direct
Klix.ba,https://www.klix.ba,https://www.klix.ba/rss,,Bosnia and Herzegovina,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Bosnian,Free,"Verified by the europe region audit, 2026-07-29. Largest BiH news portal.",2026-07-29 200 ok,rss,direct
N1 BiH,https://n1info.ba,https://ba.n1info.com/feed/,,Bosnia and Herzegovina,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Bosnian,Free,"Verified by the europe region audit, 2026-07-29. Regional broadcaster's BiH desk; redirects to n1info.ba.",2026-07-29 200 ok,rss,direct
Nezavisne novine,https://www.nezavisne.com,https://www.nezavisne.com/rss/najnovije,,Bosnia and Herzegovina,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Serbian,Free,"Verified by the europe region audit, 2026-07-29. National daily. Found via <link rel=alternate>.",2026-07-29 200 ok,rss,direct
