metro,country,city,publisher,site_url,sector,feed_url,robots,http_status,feed_items,newest_item_age_days,verdict,already_read,evidence
Rest of US,United States,,Fierce Biotech,https://www.fiercebiotech.com,Bio trade,https://www.fiercebiotech.com/rss/xml,allows,200,25,,UNDATED,no,"2026-08-13: 25 items, none carrying a readable date"
Rest of US,United States,,Genetic Engineering News,https://www.genengnews.com,Bio trade,https://www.genengnews.com/feed/,allows,200,10,1,LIVE,no,"2026-08-13: 10 items, newest 1d old, accept=rss"
Rest of US,United States,Houston,InnovationMap Houston,https://houston.innovationmap.com,Local tech,https://houston.innovationmap.com/feeds/feed.rss,allows,200,25,1,LIVE,no,"2026-08-13: 25 items, newest 1d old, accept=rss"
Rest of US,United States,,PR Newswire,https://www.prnewswire.com,Press release wire,https://www.prnewswire.com/rss/all-news-releases/all-news-releases-list.rss,allows,200,20,0,LIVE_BUT_TOO_SHALLOW,no,"2026-08-13: 17 category paths of the shape /rss/<slug>/<slug>-list.rss answer 200 application/xml, 20 items each, robots.txt allows all of them. This CORRECTS the 2026-07-30 catalogue verdict 'no feed published (15 paths)' — the probe used the wrong path shape. But every category returns the SAME 20 items as all-news-releases (identical headlines and span), the 20 items cover 4 hours, and the wire publishes ~1,300 releases/day, so a 2x/day poll sees under a fifth of it. sitemap-news.xml is the real index: 27 pages x ~98 dated URLs, ~2 days deep, robots-allowed."
Rest of US,United States,,The Robot Report,https://www.therobotreport.com,Robotics trade,https://www.therobotreport.com/feed/,allows,200,15,1,LIVE,no,"2026-08-13: 15 items, newest 1d old, accept=rss"
San Francisco Bay Area,United States,San Francisco,Bay Area Council Economic Institute,http://www.bayareaeconomy.org,Economic development,http://www.bayareaeconomy.org/feed/,allows,200,10,14,LIVE,no,"2026-08-13: 10 items, newest 14d old, accept=rss"
San Francisco Bay Area,United States,Berkeley,Berkeley News,https://news.berkeley.edu,University research,https://news.berkeley.edu/feed/,allows,200,10,2,LIVE,no,"2026-08-13: 10 items, newest 2d old, accept=rss"
San Francisco Bay Area,United States,San Francisco,Chan Zuckerberg Biohub,https://biohub.org,Bio research,https://biohub.org/feed/,allows,200,10,35,LIVE,no,"2026-08-13: 10 items, newest 35d old, accept=rss"
San Francisco Bay Area,United States,Oakland,East Bay Times Business,https://www.eastbaytimes.com,Local business,https://www.eastbaytimes.com/business/feed/,allows,403,,,DEAD,no,2026-08-13: HTTP 403
San Francisco Bay Area,United States,San Francisco,Gladstone Institutes,https://gladstone.org,Bio research,https://gladstone.org/rss.xml,allows,200,10,391,STALE,no,"2026-08-13: 10 items, newest 391d old"
San Francisco Bay Area,United States,San Francisco,Mission Local,https://missionlocal.org,Local news,https://missionlocal.org/feed/,allows,200,25,1,LIVE,no,"2026-08-13: 25 items, newest 1d old, accept=rss"
San Francisco Bay Area,United States,Palo Alto,Palo Alto Online,https://www.paloaltoonline.com,Local news,https://www.paloaltoonline.com/feed/,allows,200,10,1,LIVE,no,"2026-08-13: 10 items, newest 1d old, accept=rss"
San Francisco Bay Area,United States,San Francisco,Pulse 2.0,https://pulse2.com,Tech trade,https://pulse2.com/feed/,allows (Crawl-Delay: 20),200,20,0,LIVE_BUT_TOO_SHALLOW,no,"2026-08-13: 20 items, newest 0d. Its on-site search covers 10 of the 10 San Francisco gold misses at the matching amount. But the 20-item window spanned 29 minutes when sampled and the sitemap shows 67-103 posts a day, so a 2x/day poll of this feed would not have caught them. robots.txt sets Crawl-Delay: 20."
San Francisco Bay Area,United States,San Francisco,San Francisco Chronicle Business,https://www.sfchronicle.com,Local business,https://www.sfchronicle.com/rss/feed/Business-Feed-458.php,allows,404,,,DEAD,no,2026-08-13: HTTP 404
San Francisco Bay Area,United States,San Francisco,San Francisco OEWD,https://oewd.org,Economic development,https://oewd.org/feed,allows,,,,DOMAIN_DRIFT,no,"2026-08-13: redirects to sf.gov, not oewd.org, the domain may have been taken over"
San Francisco Bay Area,United States,San Jose,San Jose Spotlight,https://sanjosespotlight.com,Local news,https://sanjosespotlight.com/feed/,allows,200,10,1,LIVE,no,"2026-08-13: 10 items, newest 1d old, accept=rss"
San Francisco Bay Area,United States,San Francisco,SFGATE,https://www.sfgate.com,Local business,https://www.sfgate.com/rss/feed/Business-Technology-499.php,allows,200,15,,UNDATED,no,"2026-08-13: 15 items, none carrying a readable date"
San Francisco Bay Area,United States,San Francisco,SFist,https://sfist.com,Local news,https://sfist.com/feed/,allows,200,15,0,LIVE,no,"2026-08-13: 15 items, newest 0d old, accept=rss"
San Francisco Bay Area,United States,Stanford,Stanford Medicine News,https://med.stanford.edu,Medical research,https://med.stanford.edu/news/all-news/jcr:content.feed,allows,404,,,DEAD,no,2026-08-13: HTTP 404
San Francisco Bay Area,United States,Stanford,Stanford News,https://news.stanford.edu,University research,https://news.stanford.edu/feed/,allows,200,20,1,LIVE,no,"2026-08-13: 20 items, newest 1d old, accept=rss"
San Francisco Bay Area,United States,San Jose,The Mercury News Business,https://www.mercurynews.com,Local business,https://www.mercurynews.com/business/feed/,allows,403,,,DEAD,no,2026-08-13: HTTP 403
San Francisco Bay Area,United States,San Francisco,The San Francisco Examiner,http://www.sfexaminer.com,Local news,http://www.sfexaminer.com/search/?f=rss&amp;t=article&amp;l=50&amp;s=start_time&amp;sd=desc&amp;k%5B%5D=%23topstory,allows,200,10,1,LIVE,no,"2026-08-13: 10 items, newest 1d old. The URL only answers with the HTML entities intact; unescaping the ampersands returns an empty feed."
San Francisco Bay Area,United States,San Francisco,UCSF News,https://www.ucsf.edu,Medical research,https://www.ucsf.edu/rss.xml,allows,200,10,2,LIVE,no,"2026-08-13: 10 items, newest 2d old, accept=rss"
Brazil,Brazil,Sao Paulo,NeoFeed,https://neofeed.com.br,Business press,https://neofeed.com.br/feed/,allows,200,10,1,LIVE,yes,"2026-08-13: 10 items, newest 1d old, accept=rss"
Brazil,Brazil,Sao Paulo,Startups.com.br,https://startups.com.br,Tech press,https://startups.com.br/feed/,allows,200,10,1,LIVE,yes,"2026-08-13: 10 items, newest 1d old, accept=rss"
Canada,Canada,Toronto,The Logic,https://thelogic.co,Tech press,https://thelogic.co/feed/,allows,403,,,DEAD,no,2026-08-13: HTTP 403
France,France,Paris,Les Echos Entreprises,https://www.lesechos.fr,Business press,https://www.lesechos.fr/rss/rss_entreprises.xml,allows,403,,,DEAD,no,2026-08-13: HTTP 403
Germany,Germany,Berlin,deutsche-startups.de,https://www.deutsche-startups.de,Tech press,https://www.deutsche-startups.de/feed/,allows,200,15,1,LIVE,no,"2026-08-13: 15 items, newest 1d old, accept=rss"
India,India,Mumbai,Moneycontrol,https://www.moneycontrol.com,Business press,https://www.moneycontrol.com/rss/business.xml,allows,403,,,DEAD,no,2026-08-13: HTTP 403
Israel,Israel,Tel Aviv,CTech by Calcalist,https://www.calcalistech.com,Tech press,"https://www.calcalistech.com/ctechnews/home/0,7340,L-5211,00.html",allows,404,,,DEAD,no,2026-08-13: HTTP 404
Mexico,Mexico,Mexico City,Contxto,https://contxto.com,Tech press,https://contxto.com/feed/,allows,200,0,,EMPTY,no,2026-08-13: 200 but the feed parsed to zero items
Singapore,Singapore,Singapore,DealStreetAsia,https://www.dealstreetasia.com,Deal press,https://www.dealstreetasia.com/feed/,disallows,,,,REFUSED_BY_ROBOTS,no,2026-08-13: the publisher's robots.txt disallows this path
Singapore,Singapore,Singapore,Tech in Asia,https://www.techinasia.com,Tech press,https://www.techinasia.com/feed,disallows,,,,REFUSED_BY_ROBOTS,no,2026-08-13: the publisher's robots.txt disallows this path
Switzerland,Switzerland,Zurich,Startupticker.ch,https://www.startupticker.ch,Tech press,https://www.startupticker.ch/en/rss,allows,404,,,DEAD,no,2026-08-13: HTTP 404
United Arab Emirates,United Arab Emirates,Dubai,Wamda,https://www.wamda.com,Tech press,https://www.wamda.com/feed,allows,,,,UNREACHABLE,yes,"2026-08-13: ReadTimeout: HTTPSConnectionPool(host='www.wamda.com', port=443): Read timed out. (read timeout=25)"
United Kingdom,United Kingdom,Manchester,BusinessCloud,https://businesscloud.co.uk,Tech press,https://businesscloud.co.uk/feed/,allows,,,,UNREACHABLE,no,2026-08-13: TooManyRedirects: Exceeded 30 redirects.
United Kingdom,United Kingdom,London,Sifted,https://sifted.eu,Tech press,https://sifted.eu/feed,allows,200,24,0,LIVE,no,"2026-08-13: 24 items, newest 0d old, accept=rss"
United Kingdom,United Kingdom,London,Tech.eu,https://tech.eu,Tech press,https://tech.eu/feed/,disallows,,,,REFUSED_BY_ROBOTS,no,2026-08-13: the publisher's robots.txt disallows this path
United Kingdom,United Kingdom,London,UKTN,https://www.uktech.news,Tech press,https://www.uktech.news/feed,disallows,,,,REFUSED_BY_ROBOTS,no,2026-08-13: the publisher's robots.txt disallows this path
